Customer ID,Customer Name,Shipping Address,City,Customer Type,Location,Account Status,Longitude,Latitude
957,Englewood Wine & Spirits,6057 S Racine Ave,Chicago,Off Premise,Illinois,<b class=pill-green>Active</b>,-87.65446419999999,41.7835338
2409,Esquire Lounge,106 N Walnut St,Champaign,On Premise,Illinois,<b class=pill-green>Active</b>,-88.24229199999999,40.116597
2410,Barrel House Social,100 W Burlington Ave,La Grange,On Premise,Illinois,<b class=pill-green>Active</b>,-87.87098379999999,41.8154788
2411,Chicago Chop Shop,2033-2035 W North Ave,Chicago,On/Off Premise Combined,Illinois,<b class=pill-green>Active</b>,-87.6788024,41.9101776
2413,Hotel Monaco,"225 N Wabash Ave, 1st Fl",Chicago,On Premise,Illinois,<b class=pill-green>Active</b>,-87.62608109999999,41.8866272
2419,Livia Italian Eatery,207 S 3rd St,Geneva,On Premise,Illinois,<b class=pill-green>Active</b>,-88.30817449999999,41.8854026
2420,Maize & Mash,430 N Main St,Glen Ellyn,On Premise,Illinois,<b class=pill-green>Active</b>,-88.0671528,41.8751944
2427,Stonebridge Country Club,2705 Stonebridge Blvd,Aurora,On Premise,Illinois,<b class=pill-green>Active</b>,-88.2513659,41.7875689
2428,Target Store T-0732,2901 S Cicero Ave,Cicero,Off Premise,Illinois,<b class=pill-green>Active</b>,-87.740961,41.8394839
2429,Target Store T-0927,2209 Howard St,Evanston,Off Premise,Illinois,<b class=pill-green>Active</b>,-87.7052508,42.020991
2430,Target Store T-3283,1616 Sherman Ave,Evanston,Off Premise,Illinois,<b class=pill-green>Active</b>,-87.6820639,42.0477542
2433,Target Store T-1460,17605 Halsted St,Homewood,Off Premise,Illinois,<b class=pill-green>Active</b>,-87.6354678,41.5692511
2434,Target Store T-837,850 W North Ave,Melrose Park,Off Premise,Illinois,<b class=pill-green>Active</b>,-87.8434642,41.9052039
2438,Target Store T-0842,15850 S 94th Ave,Orland Park,Off Premise,Illinois,<b class=pill-green>Active</b>,-87.8505248,41.6028313
2439,Target Store T-0753,679 E Dundee Rd,Palatine,Off Premise,Illinois,<b class=pill-green>Active</b>,-88.0269843,42.137124
2443,Target Store T-0840,1951 W Jefferson Ave,Naperville,Off Premise,Illinois,<b class=pill-green>Active</b>,-88.2032012,41.7712106
2445,Target Store T-1903,28201 Diehl Rd,Warrenville,Off Premise,Illinois,<b class=pill-green>Active</b>,-88.16969039999999,41.8005162
2453,Target Store T-3207,401 E Illinois St,Chicago,Off Premise,Illinois,<b class=pill-green>Active</b>,-87.61739229999999,41.8909049
2454,Target Store T-3221,2650 N Clark St,Chicago,Off Premise,Illinois,<b class=pill-green>Active</b>,-87.64463769999999,41.931188
2463,Target Store T-1323,3885 E Main St,St Charles,Off Premise,Illinois,<b class=pill-green>Active</b>,-88.2645407,41.9182098
2468,Target Store T-1036,555 S Rand Rd,Lake Zurich,Off Premise,Illinois,<b class=pill-green>Active</b>,-88.10427090000002,42.1865613
